Thời Gian,ID Xe,Loại Phương Tiện,Tốc Độ (km/h),Biển Số,Trạng Thái
2026-06-12 23:31:33,5,Xe buýt,0,Không rõ,Bình Thường
2026-06-12 23:31:35,15,Xe buýt,0,Không rõ,Bình Thường
2026-06-12 23:31:36,16,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:37,19,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:38,11,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:38,24,Xe buýt,0,Không rõ,Bình Thường
2026-06-12 23:31:39,20,Xe máy,0,Không rõ,Bình Thường
2026-06-12 23:31:40,26,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:40,27,Xe buýt,0,Không rõ,Bình Thường
2026-06-12 23:31:41,9,Xe tải,0,Không rõ,Bình Thường
2026-06-12 23:31:41,30,Xe buýt,0,Không rõ,Bình Thường
2026-06-12 23:31:41,31,Xe tải,0,Không rõ,Bình Thường
2026-06-12 23:31:41,7,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:42,32,Xe buýt,0,Không rõ,Bình Thường
2026-06-12 23:31:43,34,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:43,10,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:48,6,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:49,3,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:52,8,Xe máy,0,Không rõ,Bình Thường
2026-06-12 23:31:54,44,Xe máy,0,Không rõ,Bình Thường
2026-06-12 23:31:54,1,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:31:55,42,Xe buýt,0,Không rõ,Bình Thường
2026-06-12 23:31:57,51,Xe máy,0,Không rõ,Bình Thường
2026-06-12 23:31:58,52,Xe máy,0,Không rõ,Bình Thường
2026-06-12 23:31:59,53,Xe buýt,0,Không rõ,Bình Thường
2026-06-12 23:32:00,55,Xe máy,0,Không rõ,Bình Thường
2026-06-12 23:32:01,54,Ô tô,0,Không rõ,Bình Thường
2026-06-12 23:32:01,58,Ô tô,0,Không rõ,Bình Thường
